吉林电信ᵛ𝟰,#genre#
CCTV-11岳阳,http://110.52.244.53:9003//hls/12/index.m3u8
CCTV-12岳阳,http://110.52.244.53:9003//hls/13/index.m3u8
CCTV-13岳阳,http://110.52.244.53:9003//hls/14/index.m3u8
CCTV-14岳阳,http://110.52.244.53:9003//hls/15/index.m3u8
CCTV-15岳阳,http://110.52.244.53:9003//hls/16/index.m3u8
CCTV-17岳阳,http://110.52.244.53:9003//hls/18/index.m3u8
北京卫视岳阳,http://110.52.244.53:9003//hls/32/index.m3u8
浙江卫视岳阳,http://110.52.244.53:9003//hls/33/index.m3u8
江苏卫视岳阳,http://110.52.244.53:9003//hls/34/index.m3u8
湖南卫视岳阳,http://110.52.244.53:9003//hls/19/index.m3u8
安徽卫视岳阳,http://110.52.244.53:9003//hls/35/index.m3u8
湖北卫视岳阳,http://110.52.244.53:9003//hls/36/index.m3u8
陕西卫视岳阳,http://110.52.244.53:9003//hls/54/index.m3u8
东方卫视岳阳,http://110.52.244.53:9003//hls/38/index.m3u8
广东卫视岳阳,http://110.52.244.53:9003//hls/43/index.m3u8
深圳卫视岳阳,http://110.52.244.53:9003//hls/37/index.m3u8
天津卫视岳阳,http://110.52.244.53:9003//hls/47/index.m3u8
山东卫视岳阳,http://110.52.244.53:9003//hls/50/index.m3u8
河北卫视岳阳,http://110.52.244.53:9003//hls/45/index.m3u8
山西卫视岳阳,http://110.52.244.53:9003//hls/58/index.m3u8
江西卫视岳阳,http://110.52.244.53:9003//hls/56/index.m3u8
四川卫视岳阳,http://110.52.244.53:9003//hls/49/index.m3u8
重庆卫视岳阳,http://110.52.244.53:9003//hls/48/index.m3u8
贵州卫视岳阳,http://110.52.244.53:9003//hls/44/index.m3u8
广西卫视岳阳,http://110.52.244.53:9003//hls/52/index.m3u8
云南卫视岳阳,http://110.52.244.53:9003//hls/53/index.m3u8
东南卫视岳阳,http://110.52.244.53:9003//hls/42/index.m3u8
厦门卫视岳阳,http://110.52.244.53:9003//hls/57/index.m3u8
海南卫视岳阳,http://110.52.244.53:9003//hls/46/index.m3u8
辽宁卫视岳阳,http://110.52.244.53:9003//hls/41/index.m3u8
吉林卫视岳阳,http://110.52.244.53:9003//hls/40/index.m3u8
青海卫视岳阳,http://110.52.244.53:9003//hls/55/index.m3u8
甘肃卫视岳阳,http://110.52.244.53:9003//hls/59/index.m3u8
黑龙江视岳阳,http://110.52.244.53:9003//hls/51/index.m3u8
🛰️电视直播,#genre#
CCTV1,http://117.161.12.116/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV2,http://117.161.12.116/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV3,http://117.161.12.116/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV4,http://117.161.12.116/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV5,http://117.161.12.116/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV5+,http://117.161.12.116/live/program/live/cctv5phd8m/8000000/mnf.m3u8
CCTV6,http://117.161.12.116/live/program/live/cctv6hd8m/8000000/mnf.m3u8
CCTV7,http://117.161.12.116/live/program/live/cctv7hd8m/8000000/mnf.m3u8
CCTV9,http://117.161.12.116/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV10,http://117.161.12.116/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV11,http://117.161.12.116/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV12,http://117.161.12.116/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV13,http://117.161.12.116/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8
CCTV14,http://117.161.12.116/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV15,http://117.161.12.116/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV16,http://117.161.12.116/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV16-4K,http://117.161.12.116/live/program/live/cctv16hd4k/15000000/mnf.m3u8
CCTV17,http://117.161.12.116/live/program/live/cctv17hd8m/8000000/mnf.m3u8
江苏卫视,http://117.161.12.116/live/program/live/jswshd8m/8000000/mnf.m3u8
广西卫视,http://117.161.12.116/live/program/live/gxwshd8m/8000000/mnf.m3u8
四川卫视,http://117.161.12.116/live/program/live/scwshd/8000000/mnf.m3u8
湖南卫视,http://117.161.12.116/live/program/live/hunanwshd8m/8000000/mnf.m3u8
浙江卫视,http://117.161.12.116/live/program/live/zjwshd8m/8000000/mnf.m3u8
东方卫视,http://117.161.12.116/live/program/live/dfwshd8m/8000000/mnf.m3u8
北京卫视,http://117.161.12.116/live/program/live/bjwshd8m/8000000/mnf.m3u8
天津卫视,http://117.161.12.116/live/program/live/tjwshd8m/8000000/mnf.m3u8
辽宁卫视,http://117.161.12.116/live/program/live/lnwshd8m/8000000/mnf.m3u8
安徽卫视,http://117.161.12.116/live/program/live/ahwshd8m/8000000/mnf.m3u8
黑龙江卫视,http://117.161.12.116/live/program/live/hljwshd8m/8000000/mnf.m3u8
广东卫视,http://117.161.12.116/live/program/live/gdwshd8m/8000000/mnf.m3u8
